card_id	internal_card_id	card_name	
.83	3414	Fire Elemental
.84	3421	Fireball
.85	3424	Firebreathing
.86	3490	Flashfires
.87	3522	Flight
.88	3562	Fog
.89	3586	Force of Nature
.90	3594	Forcefield
.91	2	Forest
.92	3609	Fork
.93	3665	Frozen Shade
.94	3681	Fungusaur
.95	3708	Gaea's Liege
.96	3761	Gauntlet of Might
.97	3861	Giant Growth
.98	3867	Giant Spider
.99	3915	Glasses of Urza
.100	3943	Gloom
.101	3979	Goblin Balloon Brigade
.102	4014	Goblin King
.103	4142	Granite Gargoyle
.104	4176	Gray Ogre
.105	4202	Green Ward
.106	4258	Grizzly Bears
.107	4289	Guardian Angel
.108	4430	Healing Salve
.109	4501	Helm of Chatzuk
.110	4569	Hill Giant
.111	4604	Holy Armor
.112	4609	Holy Strength
.113	4677	Howl from Beyond
.114	4682	Howling Mine
.115	4722	Hurloon Minotaur
.116	4724	Hurricane
.117	4741	Hypnotic Specter
.118	4760	Ice Storm
.119	4774	Icy Manipulator
.121	4904	Instill Energy
.122	4932	Invisibility
.123	4947	Iron Star
.124	4949	Ironclaw Orcs
.125	4952	Ironroot Treefolk
.126	1	Island
.127	4959	Island Sanctuary
.128	4971	Ivory Cup
.129	5013	Jade Monolith
.130	5014	Jade Statue
.131	5031	Jayemdae Tome
.132	5093	Juggernaut
.133	5096	Jump
.134	5157	Karma
.135	5217	Keldon Warlord
.136	5365	Kormus Bell
.137	5419	Kudzu
.138	5453	Lance
.139	5545	Ley Druid
.140	5561	Library of Leng
.141	5562	Lich
.142	5579	Lifeforce
.143	5581	Lifelace
.144	5586	Lifetap
.145	5595	Lightning Bolt
.146	5640	Living Artifact
.147	5644	Living Lands
.148	5648	Living Wall
.149	5654	Llanowar Elves
.150	5684	Lord of Atlantis
.151	5688	Lord of the Pit
.152	5744	Lure
.153	5784	Magical Hack
.154	5821	Mahamoti Djinn
.155	5845	Mana Flare
.156	5851	Mana Short
.157	5853	Mana Vault
.158	5856	Manabarbs
.159	6001	Meekstone
.160	6053	Merfolk of the Pearl Trident
.161	6070	Mesa Pegasus
.162	6136	Mind Twist
.163	6291	Mons's Goblin Raiders
.164	3	Mountain
.165	6359	Mox Emerald
.166	6360	Mox Jet
.167	6362	Mox Pearl
.168	6363	Mox Ruby
.169	6364	Mox Sapphire
.170	6482	Natural Selection
.171	6564	Nether Shadow
.172	6572	Nettling Imp
.173	6581	Nevinyrral's Disk
.174	6608	Nightmare
.175	6684	Northern Paladin
.176	6773	Obsianus Golem
.177	6868	Orcish Artillery
.178	6874	Orcish Oriflamme
.179	7008	Paralyze
.180	7057	Pearled Unicorn
.181	7094	Personal Incarnation
.182	7099	Pestilence
.183	7114	Phantasmal Forces
.184	7116	Phantasmal Terrain
.185	7121	Phantom Monster
.186	7218	Pirate Ship
.187	7236	Plague Rats
.188	4	Plains
.189	7	Plateau
.190	7310	Power Leak
.191	7313	Power Sink
.192	7315	Power Surge
.193	7401	Prodigal Sorcerer
.194	7431	Psionic Blast
.195	7447	Psychic Venom
.196	7481	Purelace
.197	7594	Raging River
.198	7612	Raise Dead
.199	7768	Red Elemental Blast
.200	7772	Red Ward
.201	7789	Regeneration
.202	7791	Regrowth
.203	7869	Resurrection
.204	7901	Reverse Damage
.205	7944	Righteousness
.206	8028	Roc of Kher Ridges
.207	8029	Rock Hydra
.208	8034	Rod of Ruin
.209	8085	Royal Assassin
.210	8161	Sacrifice
.211	8198	Samite Healer
.212	8	Savannah
.213	8269	Savannah Lions
.214	8299	Scathe Zombies
.215	8306	Scavenging Ghoul
.216	9	Scrubland
.217	8369	Scryb Sprites
.218	8385	Sea Serpent
.219	8428	Sedge Troll
.220	8485	Sengir Vampire
.221	8516	Serra Angel
.222	8575	Shanodin Dryads
.223	8594	Shatter
.224	8645	Shivan Dragon
.225	8773	Simulacrum
.226	8781	Sinkhole
.227	8789	Siren's Call
.228	8904	Sleight of Mind
.229	8939	Smoke
.230	8965	Sol Ring
.231	9032	Soul Net
.232	9111	Spell Blast
.233	9317	Stasis
.234	9328	Steal Artifact
.235	9376	Stone Giant
.236	9378	Stone Rain
.237	9434	Stream of Life
.238	9523	Sunglasses of Urza
.239	0	Swamp
.240	9613	Swords to Plowshares
.241	10	Taiga
.242	9819	Terror
.243	9860	The Hive
.244	9879	Thicket Basilisk
.245	9921	Thoughtlace
.246	9957	Throne of Bone
.247	10012	Timber Wolves
.248	10028	Time Vault
.249	10029	Time Walk
.250	10033	Timetwister
.251	10147	Tranquility
.252	11	Tropical Island
.253	10249	Tsunami
.254	12	Tundra
.255	10258	Tunnel
.256	10277	Twiddle
.257	10293	Two-Headed Giant of Foriys
.258	13	Underground Sea
.259	10364	Unholy Strength
.260	10384	Unsummon
.261	10429	Uthden Troll
.262	10538	Verduran Enchantress
.263	10544	Vesuvan Doppelganger
.264	10548	Veteran Bodyguard
.265	10678	Volcanic Eruption
.266	14	Volcanic Island
.267	10747	Wall of Air
.268	10749	Wall of Bone
.269	10750	Wall of Brambles
.270	10757	Wall of Fire
.271	10762	Wall of Ice
.272	10779	Wall of Stone
.273	10780	Wall of Swords
.274	10787	Wall of Water
.275	10789	Wall of Wood
.276	10795	Wanderlust
.277	10804	War Mammoth
.278	10826	Warp Artifact
.279	10851	Water Elemental
.280	10871	Weakness
.281	10882	Web
.282	10909	Wheel of Fortune
.283	10934	White Knight
.284	10939	White Ward
.285	10957	Wild Growth
.286	10977	Will-o'-the-Wisp
.287	11014	Winter Orb
.288	11070	Wooden Sphere
.290	11116	Wrath of God
.291	11221	Zombie Master
.292	392	Amnesia
.293	470	Angry Mob
.294	655	Ashes to Ashes
.295	826	Ball Lightning
.296	849	Banshee
.297	869	Barl's Cage
.298	2228	Dark Heart of the Wood
.299	1114	Blood Moon
.300	508	Apprentice Wizard
.302	1214	Bone Flute
.303	1290	Brainwash
.304	1369	Brothers of Fire
.305	1510	Carnivorous Plant
.306	1564	Cave People
.308	1835	Coal Golem
.309	2208	Dance of Many
.311	2827	Dust to Dust
.312	2872	Eater of the Dead
.313	2966	Elves of Deep Shadow
.314	3108	Erosion
.315	3139	Eternal Flame
.316	3189	Exorcist
.318	3344	Fellwar Stone
.319	3407	Fire and Brimstone
.320	3413	Fire Drake
.321	3448	Fissure
.322	8298	Scarwood Hag
.323	7080	People of the Woods
.324	3625	Fountain of Youth
.326	3831	Ghost Ship
.329	3989	Goblin Caves
.330	4012	Goblin Hero
.332	4069	Goblins of the Flarg
.333	4157	Grave Robbers
.334	3711	Gaea's Touch
.335	4544	Hidden Path
.336	1182	Bog Imp
.337	4865	Inferno
.338	5328	Knights of Thorn
.339	5457	Land Leeches
.340	5543	Leviathan
.341	5639	Living Armor
.342	5747	Lurker
.343	5840	Mana Clash
.345	5938	Martyr's Cry
.346	6121	Mind Bomb
.347	6311	Morale
.348	6523	Necropolis
.349	6865	Orc General
.350	1184	Bog Rats
.353	1231	Book of Rass
.355	7969	Riptide
.357	8165	Safe Haven
.358	8291	Scarecrow
.360	8791	Sisters of the Flame
.361	8839	Skull of Orm
.363	9375	Stone Calendar
.364	9530	Sunken City
.365	5920	Marsh Gas
.366	5921	Marsh Goblins
.368	10090	Tormod's Crypt
.370	2777	Drowned
.371	6387	Murk Dwellers
.373	6589	Niall Silvain
.374	4889	Inquisition
.375	4607	Holy Light
.376	2513	Diabolic Machine
.377	5990	Maze of Ith
.379	10116	Tower of Coireall
.380	10125	Tracker
.382	10330	Uncle Istvan
.383	10522	Venom
.385	10798	War Barge
.387	11032	Witch Hunter
.388	11085	Word of Binding
.389	11106	Wormwood Treefolk
.390	15542	Worms of the Earth
.391	182	Abu Ja'far
.392	344	Aladdin
.393	345	Aladdin's Lamp
.394	355	Ali Baba
.395	356	Ali from Cairo
.396	346	Aladdin's Ring
.397	622	Army of Allah
.398	928	Bazaar of Baghdad
.399	1007	Bird Maiden
.400	1266	Bottle of Suleiman
.401	1464	Camel
.402	1766	City in a Bottle
.403	1767	City of Brass
.404	2143	Cuombajj Witches
.405	2177	Cyclone
.406	2211	Dandân
.407	2462	Desert
.408	2463	Desert Nomads
.409	2464	Desert Twister
.410	2520	Diamond Valley
.411	2768	Drop of Honey
.412	2878	Ebony Horse
.413	2906	El-Hajjâj
.414	2936	Elephant Graveyard
.415	3105	Erg Raiders
.416	3106	Erhnam Djinn
.417	3212	Eye for an Eye
.418	3447	Fishliver Oil
.419	3557	Flying Carpet
.420	3559	Flying Men
.421	3822	Ghazbán Ogre
.422	3869	Giant Tortoise
.423	4290	Guardian Beast
.424	4396	Hasran Ogress
.425	4723	Hurr Jackal
.426	4780	Ifh-Bíff Efreet
.427	4957	Island Fish Jasconius
.428	4958	Island of Wak-Wak
.429	5020	Jandor's Ring
.430	5021	Jandor's Saddlebags
.431	5053	Jeweled Bird
.432	5061	Jihad
.433	5113	Junún Efreet
.434	5117	Juzám Djinn
.435	5234	Khabál Ghoul
.436	5263	King Suleiman
.437	5274	Kird Ape
.438	5559	Library of Alexandria
.439	5801	Magnetic Mountain
.440	6043	Merchant Ship
.442	6106	Mijae Djinn
.443	6308	Moorish Cavalry
.444	6452	Nafs Asp
.445	6744	Oasis
.446	6802	Old Man of the Sea
.447	6925	Oubliette
.448	7196	Piety
.449	7506	Pyramids
.450	7836	Repentant Blacksmith
.451	7955	Ring of Ma'rûf
.452	8102	Rukh Egg
.453	8211	Sandals of Abdallah
.454	8219	Sandstorm
.455	8502	Serendib Djinn
.456	8503	Serendib Efreet
.458	8775	Sindbad
.459	8778	Singing Tree
.460	9015	Sorceress Queen
.461	9380	Stone-Throwing Devils
.462	10380	Unstable Mutation
.463	10802	War Elephant
.464	11136	Wyluli Wolf
.465	11169	Ydwen Efreet
.466	400	Amulet of Kroog
.467	584	Argivian Archaeologist
.468	585	Argivian Blacksmith
.469	590	Argothian Pixies
.470	591	Argothian Treefolk
.471	599	Armageddon Clock
.472	633	Artifact Blast
.473	636	Artifact Ward
.474	662	Ashnod's Altar
.475	663	Ashnod's Battle Gear
.476	665	Ashnod's Transmogrant
.477	691	Atog
.478	901	Battering Ram
.479	1361	Bronze Tablet
.480	1466	Candelabra of Tawnos
.481	1752	Circle of Protection: Artifacts
.482	1761	Citanul Druid
.483	1780	Clay Statue
.484	1803	Clockwork Avian
.485	1872	Colossus of Sardia
.486	1961	Coral Helm
.487	2095	Crumble
.488	2170	Cursed Rack
.489	2206	Damping Field
.490	2485	Detonate
.491	2667	Drafna's Restoration
.492	2675	Dragon Engine
.493	2851	Dwarven Weaponsmith
.494	3049	Energy Flux
.495	3335	Feldon's Cane
.496	3702	Gaea's Avenger
.497	3749	Gate to Phyrexia
.498	3977	Goblin Artisans
.499	4112	Golgothian Sylex
.500	4146	Grapeshot Catapult
.501	4409	Haunting Wind
.502	4721	Hurkyl's Recall
.503	4976	Ivory Tower
.504	5018	Jalum Tome
.505	5940	Martyrs of Korlis
.506	6103	Mightstone
.507	6114	Millstone
.508	6209	Mishra's Factory
.509	6211	Mishra's War Machine
.510	6212	Mishra's Workshop
.511	6763	Obelisk of Undoing
.512	6818	Onulet
.513	6873	Orcish Mechanics
.514	6905	Ornithopter
.515	7161	Phyrexian Gremlins
.516	635	Artifact Possession
.518	7316	Powerleech
.519	7361	Primal Clay
.520	7616	Rakalite
.521	7762	Reconstruction
.522	7902	Reverse Polarity
.523	8031	Rocket Launcher
.524	8173	Sage of Lat-Nam
.525	8581	Shapeshifter
.526	8603	Shatterstorm
.527	9288	Staff of Zegon
.528	9447	Strip Mine
.529	9471	Su-Chi
.530	9653	Tablet of Epityr
.531	9721	Tawnos's Coffin
.532	9722	Tawnos's Wand
.533	9723	Tawnos's Weaponry
.534	9827	Tetravus
.535	9863	The Rack
.536	10050	Titania's Song
.537	10154	Transmute Artifact
.538	10218	Triskelion
.539	10416	Urza's Avenger
.540	10419	Urza's Chalice
.541	10424	Urza's Mine
.542	10425	Urza's Miter
.543	10426	Urza's Power Plant
.544	10428	Urza's Tower
.545	10778	Wall of Spears
.546	10872	Weakstone
.547	11146	Xenic Poltergeist
.548	11165	Yawgmoth Demon
.549	7357	Priest of Yawgmoth
.550	11178	Yotian Soldier
.551	173	Abomination
.552	210	Acid Rain
.553	226	Active Volcano
.554	237	Adun Oakenshield
.556	249	Aerathi Berserker
.558	332	Akron Legionnaire
.559	335	Al-abara's Carpet
.560	339	Alabaster Potion
.561	350	Alchor's Tomb
.563	397	Amrou Kithkin
.564	465	Angelic Voices
.565	471	Angus Mackenzie
.566	489	Anti-Magic Aura
.568	529	Arcades Sabboth
.569	580	Arena of the Ancients
.570	766	Avoid Fate
.571	776	Axelrod Gunnarson
.573	794	Azure Drake
.575	801	Backfire
.576	858	Barbary Apes
.577	868	Barktooth Warbeard
.578	881	Bartel Runeaxe
.579	952	Beasts of Bogardan
.580	1022	Black Mana Battery
.581	1057	Blazing Effigy
.582	1069	Blight
.583	1113	Blood Lust
.584	1168	Blue Mana Battery
.585	1233	Boomerang
.586	1247	Boris Devilboon
.587	1342	Brine Hag
.589	1513	Carrion Ants
.590	1533	Cat Warriors
.595	1732	Chromium
.596	1782	Cleanse
.598	1849	Cocoon
.599	1895	Concordant Crossroads
.600	1986	Cosmic Horror
.601	2031	Craw Giant
.603	2052	Crimson Kobolds
.604	2054	Crimson Manticore
.605	2063	Crookshank Kobolds
.606	2179	Cyclopean Mummy
.607	2192	D'Avenant Archer
.608	2197	Dakkon Blackblade
.609	2243	Darkness
.611	2434	Demonic Torment
.612	2500	Devouring Deep
.613	2577	Disharmony
.615	2613	Divine Offering
.616	2617	Divine Transformation
.617	2733	Dream Coat
.618	2814	Durkwood Boars
.619	2848	Dwarven Song
.620	2912	Elder Land Wurm
.621	2915	Elder Spawn
.622	2963	Elven Riders
.623	3007	Emerald Dragonfly
.624	3024	Enchanted Being
.625	3026	Enchantment Alteration
.626	3051	Energy Tap
.628	3141	Eternal Warrior
.629	3152	Eureka
.630	3166	Evil Eye of Orms-by-Gore
.631	3261	Fallen Angel
.634	3380	Field of Dreams
.635	3417	Fire Sprites
.637	3487	Flash Counter
.638	3488	Flash Flood
.640	3589	Force Spike
.642	3616	Fortified Area
.643	3656	Frost Giant
.645	3748	Gaseous Form
.647	3847	Ghosts of the Damned
.649	3868	Giant Strength
.650	3871	Giant Turtle
.657	4174	Gravity Sphere
.658	4179	Great Defender
.660	4193	Greater Realm of Preservation
.661	4196	Greed
.662	4199	Green Mana Battery
.663	4326	Gwendlyn Di Corci
.666	4421	Hazezon Tamar
.667	4425	Headless Horseman
.668	4455	Heaven's Gate
.669	4479	Hell Swarm
.670	4481	Hell's Caretaker
.671	4485	Hellfire
.672	4605	Holy Day
.673	4646	Horn of Deafening
.674	4656	Hornet Cobra
.675	4664	Horror of Horrors
.676	4697	Hunding Gjornersen
.677	4737	Hyperion Blacksmith
.678	4766	Ichneumon Druid
.679	4802	Immolation
.681	4822	In the Eye of Chaos
.682	4842	Indestructible Aura
.683	4860	Infernal Medusa
.685	4934	Invoke Prejudice
.686	4974	Ivory Guardians
.687	5009	Jacques le Vert
.688	5027	Jasmine Boreal
.689	5033	Jedit Ojanen
.690	5040	Jerrard of the Closed Fist
.692	5089	Jovial Evil
.694	5151	Karakas
.695	5172	Kasimir the Lone Wolf
.696	5207	Keepers of the Faith
.698	5249	Killer Bees
.699	5279	Kismet
.701	5337	Kobold Drill Sergeant
.702	5338	Kobold Overlord
.703	5339	Kobold Taskmaster
.704	5340	Kobolds of Kher Keep
.705	5418	Kry Shield
.706	5442	Lady Caleria
.707	5443	Lady Evangela
.708	5444	Lady Orca
.710	5459	Land Tax
.711	13347	Land's Edge
.712	5541	Lesser Werewolf
.713	5571	Life Chisel
.715	5577	Lifeblood
.716	5645	Living Plane
.719	5703	Lost Soul
.720	5843	Mana Drain
.721	5848	Mana Matrix
.723	5895	Marhault Elsdragon
.725	6197	Mirror Universe
.726	6237	Moat
.727	6256	Mold Demon
.728	6343	Moss Monster
.730	6353	Mountain Yeti
.732	6567	Nether Void
.733	6593	Nicol Bolas
.736	6921	Osai Vultures
.737	6980	Palladia-Mors
.739	7044	Pavel Maliki
.740	7067	Pendelhaven
.742	7223	Pit Scorpion
.743	7230	Pixie Queen
.744	7250	Planar Gate
.745	7319	Pradesh Gypsies
.746	7343	Presence of the Master
.748	7385	Princess Lucrezia
.749	7432	Psionic Entity
.750	7443	Psychic Purge
.752	7525	Pyrotechnics
.755	7566	Rabid Wombat
.756	7575	Radjan Spirit
.757	7588	Raging Bull
.758	7595	Ragnar
.759	7648	Ramirez DePietro
.760	7658	Ramses Overdark
.761	7668	Rapid Fire
.763	7741	Rebirth
.765	7769	Red Mana Battery
.767	7808	Relic Barrier
.768	7809	Relic Bind
.769	7821	Remove Enchantments
.770	7822	Remove Soul
.771	7850	Reset
.772	7888	Revelation
.774	7939	Righteous Avengers
.775	7953	Ring of Immortals
.776	8010	Riven Turnbull
.777	8041	Rohgahh of Kher Keep
.779	8383	Sea Kings' Blessing
.781	8442	Seeker
.782	8448	Segovian Leviathan
.783	8491	Sentinel
.784	8512	Serpent Generator
.786	8623	Shield Wall
.789	8784	Sir Shandlar of Eberyn
.790	8792	Sivitri Scarzam
.791	8966	Sol'kanar the Swamp King
.792	9100	Spectral Cloak
.793	9169	Spinal Villain
.794	9196	Spirit Link
.795	9203	Spirit Shackle
.796	9210	Spiritual Sanctuary
.797	9308	Stangg
.798	9404	Storm Seeker
.799	9406	Storm World
.800	9472	Subdue
.801	9511	Sunastian Falconer
.803	9622	Sylvan Library
.804	9626	Sylvan Paradise
.805	9651	Syphon Soul
.806	9864	The Tabernacle at Pendrell Vale
.808	9749	Telekinesis
.809	9753	Teleport
.810	9760	Tempest Efreet
.811	9828	Tetsuo Umezawa
.812	9856	The Abyss
.813	9857	The Brute
.814	9861	The Lady of the Mountain
.815	9866	The Wretched
.816	9974	Thunder Spirit
.817	10020	Time Elemental
.818	10057	Tobias Andrion
.820	10078	Tor Wauki
.821	10096	Torsten Von Ursus
.822	10103	Touch of Darkness
.823	10153	Transmutation
.825	10251	Tuknir Deathlock
.826	10257	Tundra Wolves
.827	10296	Typhoon
.829	10349	Underworld Dreams
.831	10386	Untamed Wilds
.833	10401	Urborg
.835	10448	Vampire Bats
.837	10629	Visions
.839	10744	Walking Dead
.841	10754	Wall of Dust
.842	10755	Wall of Earth
.843	10760	Wall of Heat
.844	10764	Wall of Light
.845	10769	Wall of Opposition
.846	10770	Wall of Putrid Flesh
.848	10783	Wall of Tombstones
.850	10788	Wall of Wonder
.851	10925	Whirling Dervish
.852	10935	White Mana Battery
.853	10980	Willow Satyr
.854	10997	Winds of Change
.855	11013	Winter Blast
.856	11060	Wolverine Pack
.857	11064	Wood Elemental
.858	11149	Xira Arien
.859	11196	Zephyr Falcon
.860	1444	Call from the Grave
.861	7388	Prismatic Dragon
.862	7610	Rainbow Knights
.863	6984	Pandora's Box
.864	10916	Whimsy
.865	3237	Faerie Dragon
.866	4028	Goblin Polka Band
.867	7314	Power Struggle
.868	687	Aswan Jaguar
.869	6871	Orcish Catapult
.870	3778	Gem Bazaar
.871	6525	Necropolis of Azar
.894	5842	Mana Crypt
.895	6455	Nalathni Dragon
.896	8550	Sewers of Estark
.897	10999	Windseeker Centaur
.898	3858	Giant Badger
.899	578	Arena
.910	682	Assembly-Worker
.930	1299	Brass Man
.931	2210	Dancing Scimitar
.933	2921	Electric Eel
.935	3530	Flood
.936	3997	Goblin Digging Team
.937	4037	Goblin Rock Sled
.938	4046	Goblin Shrine
.939	5923	Marsh Viper
.940	6049	Merfolk Assassin
.941	6178	Miracle Worker
.942	7198	Pikemen
.943	7578	Rag Man
.944	8257	Savaen Elves
.946	8297	Scarwood Goblins
.947	8305	Scavenger Folk
.948	9272	Squire
.949	9697	Tangle Kelp
.950	10056	Tivadar's Crusade
.951	10853	Water Wurm
.952	8090	Rubinia Soulsinger
.953	441	Angel of Mercy
.954	461	Angelic Page
.955	575	Ardent Militia
.956	754	Aven Cloudchaser
.957	757	Aven Flock
.958	1063	Blessed Reversal
.959	10409	Urborg Volcano
.960	2942	Elfhame Palace
.961	8650	Shivan Oasis
.962	1842	Coastal Tower
.963	8190	Salt Marsh
.964	947	Beast of Burden
.965	3069	Ensnaring Bridge
.966	3947	Glorious Anthem
.967	6666	Noble Purpose
.968	6959	Pacifism
.969	8047	Rolling Stones
.970	8202	Sanctimony
.971	193	Abyssal Specter
.972	388	Ambition's Cost
.973	407	Anaba Shaman
.974	561	Archivist
.976	755	Aven Fisher
.977	808	Balance of Power
.978	810	Balduvian Barbarians
.979	1044	Blanchwood Armor
.980	1053	Blaze
.982	1154	Bloodshot Cyclops
.983	1199	Boil
.985	1327	Bribery
.986	1448	Call of the Wild
.987	1474	Canopy Spider
.988	1479	Canyon Wildcat
.989	1519	Carrion Wall
.990	1537	Catalog
.991	1685	Chastise
.992	1712	Choke
.993	1747	Cinder Wall
.994	1840	Coastal Hornclaw
.995	1841	Coastal Piracy
.996	1844	Coat of Arms
.997	1852	Coercion
.998	1865	Collective Unconscious
.999	1891	Concentrate
.1000	1902	Confiscate
.1001	1960	Coral Eel
.1002	12088	Cowardice
.1003	2041	Creeping Mold
.1004	2068	Crossbow Infantry
.1005	2145	Curiosity
.1006	2219	Daring Apprentice
.1007	2222	Dark Banishing
.1008	2325	Death Pit Offering
.1009	2326	Death Pits of Rath
.1010	2347	Deathgazer
.1011	2384	Deepwood Ghoul
.1012	2391	Defense Grid
.1014	2406	Dehydration
.1015	2421	Demolish
.1016	2440	Demystify
.1017	2516	Diabolic Tutor
.1018	2603	Distorting Lens
.1019	2621	Diving Griffin
.1020	2815	Dusk Imp
.1021	2868	Eastern Paladin
.1022	2947	Elite Archers
.1024	2973	Elvish Champion
.1025	2980	Elvish Lyrist
.1026	2982	Elvish Pioneer
.1027	2983	Elvish Piper
.1028	2987	Elvish Scrapper
.1029	3014	Emperor Crocodile
.1030	3062	Enrage
.1031	3153	Evacuation
.1032	3182	Execute
.1034	3360	Fertile Ground
.1035	3395	Fighting Drake
.1037	3503	Fleeting Image
.1038	3560	Fodder Cannon
.1039	3577	Foratog
.1040	3668	Fugitive Wizard
.1042	3696	Fyndhorn Elder
.1043	3707	Gaea's Herald
.1044	3859	Giant Cockroach
.1045	3951	Glory Seeker
.1046	3955	Gluttonous Zombie
.1047	3991	Goblin Chariot
.1048	4006	Goblin Glider
.1049	4031	Goblin Raider
.1050	4156	Grave Pact
.1051	4164	Gravedigger
.1052	4302	Guerrilla Tactics
.1054	4531	Hibernation
.1055	4626	Honor Guard
.1056	4654	Horned Troll
.1057	4655	Horned Turtle
.1058	4689	Hulking Cyclops
.1059	4708	Hunted Wumpus
.1060	4843	Index
.1061	4900	Inspiration
.1062	4922	Intrepid Hero
.1063	4923	Intruder Alarm
.1064	4975	Ivory Mask
.1065	5466	Larceny
.1066	5486	Lava Axe
.1067	5489	Lava Hounds
.1069	5556	Lhurgoyf
.1070	5594	Lightning Blast
.1071	5601	Lightning Elemental
.1072	13429	Living Terrain
.1073	5652	Llanowar Behemoth
.1075	5682	Looming Shade
.1076	5689	Lord of the Undead
.1077	5783	Maggot Carrier
.1078	5847	Mana Leak
.1079	5912	Maro
.1080	5956	Master Decoy
.1082	6006	Megrim
.1083	6041	Merchant of Secrets
.1084	6042	Merchant Scroll
.1085	6098	Might of Oaks
.1087	6130	Mind Rot
.1088	6133	Mind Slash
.1089	6134	Mind Sludge
.1090	6248	Mogg Sentry
.1091	6294	Monstrous Growth
.1093	6383	Murderous Betrayal
.1094	6460	Nantuko Disciple
.1095	6478	Natural Affinity
.1096	6483	Naturalize
.1097	6493	Nausea
.1098	6544	Nekrataal
.1099	6686	Norwood Ranger
.1100	6766	Obliterate
.1101	6796	Ogre Taskmaster
.1104	6876	Orcish Spy
.1105	6987	Panic Attack
.1106	7023	Patagia Golem
.1107	7051	Peach Garden Oath
.1108	7093	Persecute
.1109	7126	Phantom Warrior
.1110	7148	Phyrexian Arena
.1112	7162	Phyrexian Hulk
.1113	7172	Phyrexian Plaguelord
.1114	7232	Plague Beetle
.1115	7241	Plague Wind
.1116	7252	Planar Portal
.1117	7272	Plow Under
.1118	7376	Primeval Force
.1119	7378	Primeval Shambler
.1120	7478	Puppeteer
.1121	7513	Pyroclasm
.1122	7589	Raging Goblin
.1123	7600	Rain of Blades
.1124	7657	Rampant Growth
.1125	7693	Ravenous Rats
.1126	7712	Razorfoot Griffin
.1127	7773	Redeem
.1128	7783	Reflexes
.1130	7903	Revive
.1131	7908	Rewind
.1133	7929	Ridgeline Rager
.1134	8132	Rushwood Dryad
.1135	8152	Sabretooth Tiger
.1137	8158	Sacred Nectar
.1138	8175	Sage Owl
.1139	8384	Sea Monster
.1140	8408	Searing Wind
.1141	8415	Seasoned Marshal
.1142	8450	Seismic Assault
.1143	8513	Serpent Warrior
.1144	8544	Sever Soul
.1145	8546	Severed Legion
.1146	8627	Shifting Sky
.1147	8658	Shock
.1148	8659	Shock Troops
.1149	8795	Sizzle
.1150	8898	Slay
.1151	8960	Sneaky Homunculus
.1152	8980	Solidarity
.1153	9028	Soul Feast
.1154	9118	Spellbook
.1155	9166	Spiketail Hatchling
.1156	9176	Spined Wurm
.1157	9177	Spineless Thug
.1158	9226	Spitting Spider
.1159	9249	Spreading Algae
.1160	9310	Star Compass
.1161	9323	Staunch Defenders
.1162	9400	Storm Crow
.1164	9480	Sudden Impact
.1165	9547	Sunweb
.1166	9591	Swarm of Rats
.1167	9601	Sword Dancer
.1169	9752	Telepathy
.1170	9777	Temporal Adept
.1172	9883	Thieving Magpie
.1174	10002	Tidal Kraken
.1175	10128	Trade Routes
.1176	10173	Treasure Trove
