shandalar_id	shandalar_internal_id	name	moxfield_id	scryfall_id
.94	3681	Fungusaur	E1zVA	79324f73-25cd-477a-b4f0-fd3e1319e451
.95	3708	Gaea's Liege	YebjP	3ade8d4a-6a47-4a01-9a0f-ff866055fd49
.96	3761	Gauntlet of Might	YNVyn	df3bc33f-23f8-4eb4-a70e-b8b7af5b40f6
.97	3861	Giant Growth	Yn3NA	06ec9e8b-4bd8-4caf-a559-6514b7ab4ca4
.98	3867	Giant Spider	YBV2P	80996b0d-cd44-445e-96de-677e0018255c
.99	3915	Glasses of Urza	EJPRM	4bd9f45f-30b3-4bff-9fd3-9a71137ac741
.100	3943	Gloom	EWzmD	0d26c559-ad06-4f78-b7b6-e658be8c7bdb
.101	3979	Goblin Balloon Brigade	Er5vK	485e9d38-1536-4af6-9b58-00c08c07e222
.102	4014	Goblin King	Yx189	4b266935-25ea-49c5-a1da-57c22a4362fd
.103	4142	Granite Gargoyle	EPowm	1fa2963d-010f-491c-8ccc-3b4d4bc88398
.104	4176	Gray Ogre	k7eaZ	11bf2cc0-799f-4eb8-b338-ed7543f469e7
.105	4202	Green Ward	E6eao	b7548dc7-11dc-4611-85a5-71bdb48d8a62
.106	4258	Grizzly Bears	Y2bq4	409f9b88-f03e-40b6-9883-68c14c37c0de
.107	4289	Guardian Angel	YvaRa	071ca80b-62b4-40e6-81c6-fc5bd9019354
.108	4430	Healing Salve	kaRed	0ff82aba-9022-4eff-a6dc-67365360d646
.109	4501	Helm of Chatzuk	kqd82	9664a59d-182a-429b-a6f7-047b8b8e5ffe
.110	4569	Hill Giant	YvbOV	14c2be6a-9ca6-4d3a-8dd0-db4ea40799f8
.111	4604	Holy Armor	Yo2GA	3a0b9dba-f621-4700-8a36-bf326e04cbac
.112	4609	Holy Strength	YM0gX	ac0987b8-755e-42f1-bd6d-1401fecd4171
.113	4677	Howl from Beyond	LzrBK	45db6652-c19f-42e1-b2e4-286bc3bf77d3
.114	4682	Howling Mine	Lz8Vw	cdae9939-03a4-4561-92cd-01f498d29a7a
.115	4722	Hurloon Minotaur	YvN4x	eb72cfc8-6235-4951-b1ba-6d9531f5eabf
.116	4724	Hurricane	YBr6P	371d83e8-f514-433c-bc6a-e0eeef3fab2a
.117	4741	Hypnotic Specter	EP5rv	9695f390-f791-4d64-90b2-731d6d37df1c
.118	4760	Ice Storm	E0Rx5	68cc9670-6faf-41c3-b111-358c46d8812d
.119	4774	Icy Manipulator	YxeDy	9fd9b205-817e-4ca4-8a29-3c2b6cbf7207
.121	4904	Instill Energy	YBy7Q	a7d5d27f-759f-4e99-8ac4-e4b40865d557
.122	4932	Invisibility	LmnmK	348d6493-681a-4ea9-9154-ea09f2648e8a
.123	4947	Iron Star	YNaZJ	ec6d1e6b-80af-4eb1-be3c-62ab74315777
.124	4949	Ironclaw Orcs	Ebqd8	abee9c59-48c2-4c2c-a3d6-ccb0d4652831
.125	4952	Ironroot Treefolk	kONn4	6bdbba38-b4c9-4c14-b869-669b39390e4e
.126	1	Island	E03K3	f82b281f-d3c7-4eb8-9a10-b4808ca6cfcd
.127	4959	Island Sanctuary	YoxrW	5160e700-3bca-4992-a772-48f1f124cee6
.128	4971	Ivory Cup	E0znW	fc4cd379-caba-485c-8c0f-e59804c387c6
.129	5013	Jade Monolith	Yv7vw	482d9aab-7ff1-47ee-9862-8a8c687f14bf
.130	5014	Jade Statue	Yj2oy	af0495f8-4f18-4860-b1b4-58fa67414c8e
.131	5031	Jayemdae Tome	YdGZa	518af905-f518-4269-89b4-781085be8dd2
.132	5093	Juggernaut	kXevA	dcc90cf8-9dd6-4dac-8cbb-21677d81e4d3
.133	5096	Jump	EQov4	2edd7be9-9334-4684-b642-1aaf2000e054
.134	5157	Karma	L4ymG	cf9df1cc-9de3-42a6-9c28-f2d8db75322a
.135	5217	Keldon Warlord	kpoAp	8e67a472-3058-47a7-90f5-1d26c4287cab
.136	5365	Kormus Bell	L3JR6	40f826b8-9e92-4e0e-aa2f-c3f5e3061432
.137	5419	Kudzu	E0xXJ	c3bc363a-573e-4df4-9b1b-586bf4275f3c
.138	5453	Lance	Yn3Ry	402eea7c-2afe-4e93-9773-3e0424cabfdd
.139	5545	Ley Druid	Lwb8G	4dac78d2-dd1b-412a-b1b4-4fef1a4fd583
.140	5561	Library of Leng	EQ5Ba	c2fbf45f-9599-42e2-8510-7e20731e6c68
.141	5562	Lich	LRoOz	d4d7d1fd-4a5e-4cc3-8056-12cae084cc6a
.142	5579	Lifeforce	LGn5o	6520d992-ebb3-4711-ad91-ab1c1e29538a
.143	5581	Lifelace	ky04N	bf312acb-2fa6-440a-964b-424ad8abc331
.144	5586	Lifetap	kyVJ4	af066a2d-d357-45a7-90d8-2c34b6d0ebf8
.145	5595	Lightning Bolt	kA75A	ce711943-c1a1-43a0-8b89-8d169cfb8e06
.146	5640	Living Artifact	LVDA5	8af097b1-9eae-4bd6-8ee6-582cae57e970
.147	5644	Living Lands	k9VWe	797577e4-9635-4544-a024-88c8deb9588a
.148	5648	Living Wall	kqnoe	7ed9efc7-65ea-425d-bd03-6f6c668db1df
.149	5654	Llanowar Elves	EWMoG	8bbcfb77-daa1-4ce5-b5f9-48d0a8edbba9
.150	5684	Lord of Atlantis	LDwgM	a9407b60-8921-4531-bdbe-9a82aaa38d28
.151	5688	Lord of the Pit	EP72R	5b626ab2-4cf6-42e8-a7e2-9c9f310d2f00
.152	5744	Lure	E0ZV3	72c8336d-54cf-45af-a9ef-a1428facf91b
.153	5784	Magical Hack	E0rpJ	c2349d53-d9f0-450f-be96-463791ee7aab
.154	5821	Mahamoti Djinn	L4n5N	855de173-6bec-457b-828e-28678b7d396e
.155	5845	Mana Flare	Lwol9	a4bb303d-b230-430a-a2c3-f91a776de34e
.156	5851	Mana Short	k7Vv1	a0486784-de03-47a7-949d-550fd23492bc
.157	5853	Mana Vault	k9700	cfdf9706-acdb-48fc-89db-93bc50b3b9ad
.158	5856	Manabarbs	Lmgzq	adf081d5-e644-4f46-8bc8-a754b089acb4
.159	6001	Meekstone	YB8Xj	0a691664-9275-4b89-a8e3-b99c88717ffb
.160	6053	Merfolk of the Pearl Trident	YdvyX	a360fe4e-c9a6-42fa-a97a-8b5a0c19ef93
.161	6070	Mesa Pegasus	LR3ov	8075e43a-7d36-4e07-a2ff-41e98e6c7778
.162	6136	Mind Twist	L4DMR	9763ea41-55c4-4b0a-9dc2-91ad4938b343
.163	6291	Mons's Goblin Raiders	Y82na	58b7a22b-f354-4f42-9354-d149bb9b3645
.164	3	Mountain	LzmMa	b86fbf78-57ec-4a0f-9fb6-e4bf13861563
.165	6359	Mox Emerald	YxV7n	aced2c55-7543-4076-bcdd-36c4d649b8ae
.166	6360	Mox Jet	EWzOV	5f6927e1-c580-483a-8e2a-6e2deb74800e
.167	6362	Mox Pearl	Ydzo3	ed0216a0-c5c9-4a99-b869-53e4d0256326
.168	6363	Mox Ruby	YnD4R	45fd6e91-df76-497f-b642-33dc3d5f6a5a
.169	6364	Mox Sapphire	LKmWP	ea1feac0-d3a7-45eb-9719-1cdaf51ea0b6
.170	6482	Natural Selection	Y25rp	315a6bfb-5417-465f-97d9-e157f5c3cf79
.171	6564	Nether Shadow	LDX6W	11988c46-6d0c-46a8-85aa-8c6da72bfe30
.172	6572	Nettling Imp	Lz3Oj	54039c4b-23c7-4e2c-8bd3-7a28714244b8
.173	6581	Nevinyrral's Disk	YdnQv	5c9e6af4-522c-4dfa-895a-6946fe983e3c
.174	6608	Nightmare	YnvjN	052022ff-795f-4f50-a45c-91cf8be9fbe9
.175	6684	Northern Paladin	Yxq7R	5ed1fb50-b7c3-43e9-a0ef-a33135a12300
.176	6773	Obsianus Golem	LDDG9	ff1b095e-49e2-412b-9ee0-6f0bbcc76a24
.177	6868	Orcish Artillery	E5W0W	606fca10-0eb8-4f70-80bb-dd9aee50a018
.178	6874	Orcish Oriflamme	E1RnA	9b568475-97db-47be-842c-03305b459fb7
.179	7008	Paralyze	ErJ47	fe85610f-b17e-4628-8f6b-544ea7b34327
.180	7057	Pearled Unicorn	EJlbM	ce33ef5b-a0ff-459c-a9d4-a0a00ac66b31
.181	7094	Personal Incarnation	EJPxp	456b44ec-c299-419a-82b6-99d8609a0c04
.182	7099	Pestilence	kqq9e	29d852c4-bd53-4a3b-b1e2-896917cbc27f
.183	7114	Phantasmal Forces	YnDGy	996fa830-7c09-4077-818d-24201617cf19
.184	7116	Phantasmal Terrain	YdzNw	e9640cd5-bef8-486f-b903-46ff92efe3d3
.185	7121	Phantom Monster	YnP6p	b5cddd47-8c2b-47de-bf82-e810d4cf4df4
.186	7218	Pirate Ship	EJXlB	4f91724c-0e3b-4289-9af6-9de489d811eb
.187	7236	Plague Rats	YM3O0	c99fd75c-4b41-411f-92b0-ca3b220946b5
.188	4	Plains	kOPXn	20ddb0be-d62d-46fa-b753-36dfab935e8a
.189	7	Plateau	EQ59D	bb979a96-a57d-4fb5-8ebe-0bd398272abe
.190	7310	Power Leak	Egn66	99f235d7-8f6b-4d17-bc36-6f2cb6d5deec
.191	7313	Power Sink	YMlzd	9a6f3ce5-d4a5-4d7b-a7f9-b249c1d88e8f
.192	7315	Power Surge	Y2eZ4	0b5717af-a1a3-45cb-8b05-7543eed5532a
.193	7401	Prodigal Sorcerer	EZ570	50aef269-55f9-4d84-8bc5-29e794297f11
.194	7431	Psionic Blast	ErgP1	befb1728-4af3-420a-a51e-7fa95d2e7a00
.195	7447	Psychic Venom	Y2oyp	984ae881-9b43-42ce-885e-2eb5e683eed7
.196	7481	Purelace	LGmWx	5736fcc7-fa95-4ef4-b821-392ec00e03bf
.197	7594	Raging River	Yer0v	7ee63877-056e-413d-932a-a393a4183686
.198	7612	Raise Dead	YNn2g	4950c3c2-80c1-4447-ac38-cf40f76b9545
.199	7768	Red Elemental Blast	EWDVy	70a45e9b-699e-425a-9f3d-267274830d3e
.200	7772	Red Ward	YexKR	543e8ec0-f36a-46a6-b7b1-e983e90a091a
.201	7789	Regeneration	YNagz	4b848c69-0f64-4631-84b9-6597c359f3ba
.202	7791	Regrowth	kyaro	d771fc5d-b9a1-4637-8241-3f54616b64af
.203	7869	Resurrection	Yv6qZ	a176b295-9406-4d6b-b15c-e81a72e66874
.204	7901	Reverse Damage	Yddoa	5f938c52-c7f6-41a4-b480-632b43b60b67
.205	7944	Righteousness	LVN0x	d2910df2-e288-4fa0-9859-c5ca35da2d55
.206	8028	Roc of Kher Ridges	YBypj	8cd6f13b-e074-4d3d-a8b0-bd6b1bd72895
.207	8029	Rock Hydra	LzrmN	28ab1823-e11e-48ae-8406-e025af32f407
.208	8034	Rod of Ruin	YlG49	9a0e90b8-bc38-4e1c-92ca-ac562cc57e31
.209	8085	Royal Assassin	LDDbM	d12e8109-8215-46b5-a0af-fe7e4b6b10b0
.210	8161	Sacrifice	ErOnM	652bd781-1a48-42c1-9aff-f9050a9285d6
.211	8198	Samite Healer	kpm4j	621f9a58-0bc8-40dd-aef1-43618274d6fe
.212	8	Savannah	EJPyg	b0d161fc-4a2a-4f1d-82b4-a746552552df
.213	8269	Savannah Lions	LDrWX	a9757246-e782-4d7a-8273-d9efe284edaf
.214	8299	Scathe Zombies	EWWpr	037cbf71-1199-4457-9b09-f66e7cb294d5
.215	8306	Scavenging Ghoul	EQ572	78d5eb2e-ca20-4c28-a995-c69c92fc1024
.216	9	Scrubland	k77wN	9d471e36-a3ab-4a96-ba4b-8eca921ea37a
.217	8369	Scryb Sprites	kA5nR	26f191de-8c59-458c-a1ab-80e2bccdb974
.218	8385	Sea Serpent	kXzjx	1621438d-717a-477c-93ff-ff7415da70c5
.219	8428	Sedge Troll	LwlJd	78de6044-1ed8-4fd9-822c-69658e3f3fba
.220	8485	Sengir Vampire	E133a	de652420-eacf-4f9d-9f13-c6bc02b0fa72
.221	8516	Serra Angel	kaeeb	9067f035-3437-4c5c-bae9-d3c9001a3411
.222	8575	Shanodin Dryads	kA4Xw	90e8ff87-22e8-4c04-84bc-f0ea2c12a86c
.223	8594	Shatter	YeoDQ	929a41f7-f52d-4190-a80c-5ceb3e368a31
.224	8645	Shivan Dragon	LVx4O	227cf1b5-f85b-41fe-be98-66e383652039
.225	8773	Simulacrum	LmlMx	7c23232c-a264-4df9-824b-4111a5c6524c
.226	8781	Sinkhole	YjXNB	a084d0fb-8db2-4873-a2f9-e6e5fecdd38c
.227	8789	Siren's Call	k7emB	51832cfb-0a2e-4674-bb36-38027a71ac6d
.228	8904	Sleight of Mind	LRbQq	3cdb4f1c-6754-4269-8fac-d4edc02c8e00
.229	8939	Smoke	YxV8R	109bea85-a991-46be-b502-0984160090a8
.230	8965	Sol Ring	kqode	acce65cc-9093-45a6-8c86-97edce545050
.231	9032	Soul Net	YNZgG	62e267df-22e1-422e-973b-d192b40d5f19
.232	9111	Spell Blast	YnvGR	26fb30a8-9f6b-425b-95d3-0719319dbb3f
.233	9317	Stasis	k7741	62f99124-6595-45f8-bece-1775e4c55a5c
.234	9328	Steal Artifact	ErgdV	810f874e-98e1-402b-b48e-14c3e2a624f0
.235	9376	Stone Giant	EgW99	fbd9a10e-2bf7-4af7-bb34-52de01e03523
.236	9378	Stone Rain	kOr5m	d2334c10-fa96-4f8e-8187-c7ecc00cbac8
.237	9434	Stream of Life	ErvA1	341aa1b2-e600-4580-b0cd-e1582b75dc81
.238	9523	Sunglasses of Urza	EQ8DD	6a225462-947c-49d7-81b2-91f875664dca
.239	0	Swamp	LKAem	be87de91-aa10-4ed8-83a2-261b4f57e7db
.240	9613	Swords to Plowshares	kOPqw	06d67c87-ae38-4b84-98da-818e451a727f
.241	10	Taiga	YlyP9	0c2c39fc-b564-4ab5-833c-ff029760b7a7
.242	9819	Terror	L4doO	2dd5d601-aff7-4b7a-ab6c-b89f403af076
.243	9860	The Hive	kpmWw	4141e02a-d42c-4272-833d-98e2614ab371
.244	9879	Thicket Basilisk	LmvBx	2ac6ded0-4ff0-4827-a870-1a7851cd37b0
.245	9921	Thoughtlace	ky0oD	185674a4-db97-444d-b0e9-7dcfc245ce4b
.246	9957	Throne of Bone	LwKzm	66ef3879-f708-4e2d-a1bc-6a75584fd8b1
.247	10012	Timber Wolves	kAxa0	d8f84fc8-69b4-4756-9634-4d6c17ec88a1
.248	10028	Time Vault	EZzmN	c367ffc1-8084-45a1-87d5-22183604d1cb
.249	10029	Time Walk	LKmXo	70901356-3266-4bd9-aacc-f06c27271de5
.250	10033	Timetwister	EgQ0v	fbee1e10-0b8c-44ea-b0e5-44cdd0bfcd76
.251	10147	Tranquility	Ye5aO	cdf5c7f6-1b7f-49e2-ac01-040e529383a3
.252	11	Tropical Island	kqnbz	47033ba4-8f26-4a6b-97bd-5b366327325e
.253	10249	Tsunami	kXzDx	f83a6709-f26d-41fc-b63a-739377ba49f9
.254	12	Tundra	EZzKN	efd35cb4-862d-4699-a197-b744989b3ceb
.255	10258	Tunnel	EW8qV	9483f5d0-c627-43ed-bfaa-1559855c8a6d
.256	10277	Twiddle	EgyP5	1b25858a-ab2d-441a-a3fe-6d5ecd7f05be
.257	10293	Two-Headed Giant of Foriys	YMl8V	203186e6-843d-4296-ab27-10ac444e651c
.258	13	Underground Sea	kaz4O	26cee543-6eab-494e-a803-33a5d48d7d74
.259	10364	Unholy Strength	kAn7A	f42c9574-2f09-4cb0-80cb-10fb8c592e6f
.260	10384	Unsummon	YBxK8	7a960516-3864-4a7a-8117-d25dec0dd665
.261	10429	Uthden Troll	EZAbP	18bd9ec1-4784-4b8d-bdeb-8df4b91c954f
.262	10538	Verduran Enchantress	EW4pb	c9d5f1c2-9f9c-416e-a0a2-6534b243e799
.263	10544	Vesuvan Doppelganger	E6wnO	543c08bc-f8ce-4324-b78d-891c49f3a24a
.264	10548	Veteran Bodyguard	ky2BP	1dd4615d-7828-43fb-ab89-f7c732bca01a
.265	10678	Volcanic Eruption	Yo2J2	5828713a-edb3-4b11-b1f9-8f1bfc3c103f
.266	14	Volcanic Island	LGn96	2f607e7e-30c0-45e9-8f61-bf6e9fe63f2b
.267	10747	Wall of Air	kalJ9	40595366-8601-40e0-a070-fc218723270d
.268	10749	Wall of Bone	Lm1Vz	45025791-a94a-4046-8297-3b7a2019e4a3
.269	10750	Wall of Brambles	EWxNy	e8780a20-8504-406e-aea1-722f146be5f7
.270	10757	Wall of Fire	kApM5	6f8ac968-3d00-40d8-80b5-e6fe08025de2
.271	10762	Wall of Ice	E0elb	d702bd22-6079-4f4c-9540-42cf2a29f4a3
.272	10779	Wall of Stone	E0zQj	718da336-ad97-41a6-86bd-4f124e2cc716
.273	10780	Wall of Swords	k9qb7	7c733fef-8372-4a40-b340-7aa32922799e
.274	10787	Wall of Water	YM5qd	78028eda-61b0-408c-b3fc-adc968d39b47
.275	10789	Wall of Wood	LwKOK	1864e25e-f940-47e5-9439-ab721049c690
.276	10795	Wanderlust	Y8rdW	089b7137-8824-449b-890f-97e761950a17
.277	10804	War Mammoth	EbA8P	7e892859-81cc-461a-a79f-39af43dbfb4f
.278	10826	Warp Artifact	Lm5eR	20f3c7e4-dfb5-410f-b017-09b8b6d76037
.279	10851	Water Elemental	kyNRb	9d574bf9-f3e6-4b8e-a3bc-22706c3bb3ec
.280	10871	Weakness	LK4jz	cffbac05-7e36-4c6b-a572-04706d5d2799
.281	10882	Web	Yo67J	91173ce1-62a9-4d0e-8b2a-9bc33858c4fc
.282	10909	Wheel of Fortune	YByKG	2597050f-6b1b-474e-aa16-33fd154628ca
.283	10934	White Knight	E1pZR	660f69ef-c04f-4f53-80e6-8190549ab12a
.284	10939	White Ward	LGmq5	2d3c467f-0e33-43e8-b108-0ea00d6adcc2
.285	10957	Wild Growth	Eb0l7	61efbd57-7e56-4087-beba-18d8445db7dd
.286	10977	Will-o'-the-Wisp	LDrvX	066a1cd2-6778-45bb-84b8-4a9958cf10d7
.287	11014	Winter Orb	k72zp	ab3cec7e-513e-400d-a1a8-2c71cdde02c6
.288	11070	Wooden Sphere	L4ywr	5310b3a7-0a85-4469-be88-5c7ab1de4f4a
.290	11116	Wrath of God	LD2p9	664e6656-36a3-4635-9f33-9f8901afd397
.291	11221	Zombie Master	LVO7O	c25eb8c9-4209-4fe4-8b02-be16d7d7bdf5
.292	392	Amnesia	Lmv3z	23d6dbd3-652f-4dc3-9453-24299332938d
.293	470	Angry Mob	EPoMR	2dcaea36-52fb-4c71-a4f1-5c060b918ff1
.294	655	Ashes to Ashes	kA5Dx	9e61209b-0f56-4bab-9ada-700f91b18dec
.295	826	Ball Lightning	EbeV0	d9b53218-804b-4992-9c93-a797dd6b2a04
.296	849	Banshee	EgmVv	12130a32-8c27-4e48-b1ae-b7991f751e7e
.297	869	Barl's Cage	EPv9v	c51825dc-9854-4a45-80e9-91924e406586
.298	2228	Dark Heart of the Wood	kyXXb	baa3ae99-a770-4487-8de6-68a347ee64bb
.299	1114	Blood Moon	E06NW	d072e9ca-aae7-45dc-8025-3ce590bae63f
.300	508	Apprentice Wizard	LGodB	e13026a8-7e3c-45b2-9838-080f14ae4b29
.302	1214	Bone Flute	E6AWZ	12aa4c51-4b3d-48c2-bebb-13ea98ebc3b2
.303	1290	Brainwash	EPg4n	0afcbd6d-2b83-4393-9fc8-fe91f86117fe
.304	1369	Brothers of Fire	kAjre	0700908c-87f3-4d88-bb54-e061ee735170
.305	1510	Carnivorous Plant	Ynr35	afa8023b-1afc-4c05-864e-96f65b0aa140
